n=2 d=2 mu=(a-b,b) kernel=P F1[x]F2^vee: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('+1/2',), ('+1/2',), ('+1/2',)]
n=2 d=2 mu=(a-b,b) kernel=P F1^vee[x]F2: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('+1/2',), ('+1/2',), ('+1/2',)]
n=2 d=2 mu=(a-b,b) kernel=P^vee F1[x]F2^vee: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('-1/2',), ('-1/2',), ('-1/2',)]
n=2 d=2 mu=(a-b,b) kernel=P^vee F1^vee[x]F2: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('-1/2',), ('-1/2',), ('-1/2',)]
n=2 d=2 mu=(a+b,b) kernel=P F1[x]F2^vee: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('-1/2',), ('-1/2',), ('-1/2',)]
n=2 d=2 mu=(a+b,b) kernel=P F1^vee[x]F2: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('-1/2',), ('-1/2',), ('-1/2',)]
n=2 d=2 mu=(a+b,b) kernel=P^vee F1[x]F2^vee: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('+1/2',), ('+1/2',), ('+1/2',)]
n=2 d=2 mu=(a+b,b) kernel=P^vee F1^vee[x]F2: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('+1/2',), ('+1/2',), ('+1/2',)]
n=3 d=2 mu=(a-b,b) kernel=P F1[x]F2^vee: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('+1/2',), ('+1/2',), ('+1/2',)]
n=3 d=2 mu=(a-b,b) kernel=P F1^vee[x]F2: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('+1/2',), ('+1/2',), ('+1/2',)]
n=3 d=2 mu=(a-b,b) kernel=P^vee F1[x]F2^vee: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('-1/2',), ('-1/2',), ('-1/2',)]
n=3 d=2 mu=(a-b,b) kernel=P^vee F1^vee[x]F2: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('-1/2',), ('-1/2',), ('-1/2',)]
n=3 d=2 mu=(a+b,b) kernel=P F1[x]F2^vee: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('-1/2',), ('-1/2',), ('-1/2',)]
n=3 d=2 mu=(a+b,b) kernel=P F1^vee[x]F2: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('-1/2',), ('-1/2',), ('-1/2',)]
n=3 d=2 mu=(a+b,b) kernel=P^vee F1[x]F2^vee: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('+1/2',), ('+1/2',), ('+1/2',)]
n=3 d=2 mu=(a+b,b) kernel=P^vee F1^vee[x]F2: ell-coefficients c with ch(E)e^{c ell} flat, per pair: [('+1/2',), ('+1/2',), ('+1/2',)]
