n=2 d=1 F1=(0, 1) F2=(0, 1): rk=-2 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(1/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20) profile=[1, 8, 18, 8, 1]  (0.0s)
n=2 d=1 F1=(1, 0) F2=(1, 0): rk=-2 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-1/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20)  (0.1s)
n=2 d=1 F1=(1, 0) F2=(0, 1): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-1/2) rho=2 rec(-1/4d)=True c1=1 c3=-1/24 R=0 r(chE)=18 (6n^2-2n=20)  (0.1s)
n=2 d=1 F1=(0, 1) F2=(1, 0): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-1/2) rho=2 rec(-1/4d)=True c1=-1 c3=1/24 R=0 r(chE)=18 (6n^2-2n=20)  (0.1s)
n=2 d=1 F1=(1, 1) F2=(2, -1): rk=-2 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-3/2,-1/2) rho=2 rec(-1/4d)=True c1=-3 c3=1/8 R=3/40 r(chE)=18 (6n^2-2n=20)  (0.2s)
n=2 d=2 F1=(0, 1) F2=(0, 1): rk=-2 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(1,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20) profile=[1, 8, 18, 8, 1]  (0.2s)
n=2 d=2 F1=(1, 0) F2=(1, 0): rk=-4 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20)  (0.3s)
n=2 d=2 F1=(1, 0) F2=(0, 1): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-2) rho=2 rec(-1/4d)=True c1=1 c3=-1/48 R=0 r(chE)=18 (6n^2-2n=20)  (0.3s)
n=2 d=2 F1=(0, 1) F2=(1, 0): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-2) rho=2 rec(-1/4d)=True c1=-1 c3=1/48 R=0 r(chE)=18 (6n^2-2n=20)  (0.3s)
n=2 d=2 F1=(1, 1) F2=(2, -1): rk=-6 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-5,-2) rho=2 rec(-1/4d)=True c1=-3 c3=1/16 R=1/4 r(chE)=18 (6n^2-2n=20)  (0.4s)
n=2 d=3 F1=(0, 1) F2=(0, 1): rk=-2 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(3/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20) profile=[1, 8, 18, 8, 1]  (0.4s)
n=2 d=3 F1=(1, 0) F2=(1, 0): rk=-6 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-9/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20)  (0.4s)
n=2 d=3 F1=(1, 0) F2=(0, 1): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-9/2) rho=2 rec(-1/4d)=True c1=1 c3=-1/72 R=0 r(chE)=18 (6n^2-2n=20)  (0.5s)
n=2 d=3 F1=(0, 1) F2=(1, 0): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-9/2) rho=2 rec(-1/4d)=True c1=-1 c3=1/72 R=0 r(chE)=18 (6n^2-2n=20)  (0.5s)
n=2 d=3 F1=(1, 1) F2=(2, -1): rk=-10 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-21/2,-9/2) rho=2 rec(-1/4d)=True c1=-3 c3=1/24 R=75/208 r(chE)=18 (6n^2-2n=20)  (0.5s)
n=2 d=5 F1=(0, 1) F2=(0, 1): rk=-2 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(5/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20) profile=[1, 8, 18, 8, 1]  (0.6s)
n=2 d=5 F1=(1, 0) F2=(1, 0): rk=-10 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-25/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20)  (0.6s)
n=2 d=5 F1=(1, 0) F2=(0, 1): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-25/2) rho=2 rec(-1/4d)=True c1=1 c3=-1/120 R=0 r(chE)=18 (6n^2-2n=20)  (0.6s)
n=2 d=5 F1=(0, 1) F2=(1, 0): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-25/2) rho=2 rec(-1/4d)=True c1=-1 c3=1/120 R=0 r(chE)=18 (6n^2-2n=20)  (0.7s)
n=2 d=5 F1=(1, 1) F2=(2, -1): rk=-18 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-55/2,-25/2) rho=2 rec(-1/4d)=True c1=-3 c3=1/40 R=27/56 r(chE)=18 (6n^2-2n=20)  (0.8s)
n=2 d=6 F1=(0, 1) F2=(0, 1): rk=-2 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(3,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20) profile=[1, 8, 18, 8, 1]  (0.8s)
n=2 d=6 F1=(1, 0) F2=(1, 0): rk=-12 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-18,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20)  (0.9s)
n=2 d=6 F1=(1, 0) F2=(0, 1): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-18) rho=2 rec(-1/4d)=True c1=1 c3=-1/144 R=0 r(chE)=18 (6n^2-2n=20)  (0.9s)
n=2 d=6 F1=(0, 1) F2=(1, 0): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-18) rho=2 rec(-1/4d)=True c1=-1 c3=1/144 R=0 r(chE)=18 (6n^2-2n=20)  (0.9s)
n=2 d=6 F1=(1, 1) F2=(2, -1): rk=-22 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-39,-18) rho=2 rec(-1/4d)=True c1=-3 c3=1/48 R=363/700 r(chE)=18 (6n^2-2n=20)  (1.0s)
n=2 d=7 F1=(0, 1) F2=(0, 1): rk=-2 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(7/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20) profile=[1, 8, 18, 8, 1]  (1.0s)
n=2 d=7 F1=(1, 0) F2=(1, 0): rk=-14 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-49/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20)  (1.0s)
n=2 d=7 F1=(1, 0) F2=(0, 1): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-49/2) rho=2 rec(-1/4d)=True c1=1 c3=-1/168 R=0 r(chE)=18 (6n^2-2n=20)  (1.1s)
n=2 d=7 F1=(0, 1) F2=(1, 0): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-49/2) rho=2 rec(-1/4d)=True c1=-1 c3=1/168 R=0 r(chE)=18 (6n^2-2n=20)  (1.1s)
n=2 d=7 F1=(1, 1) F2=(2, -1): rk=-26 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-105/2,-49/2) rho=2 rec(-1/4d)=True c1=-3 c3=1/56 R=507/928 r(chE)=18 (6n^2-2n=20)  (1.1s)
n=2 d=11 F1=(0, 1) F2=(0, 1): rk=-2 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(11/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20) profile=[1, 8, 18, 8, 1]  (1.2s)
n=2 d=11 F1=(1, 0) F2=(1, 0): rk=-22 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-121/2,0) rho=2 rec(-1/4d)=True c1=0 c3=0 R=3/4 r(chE)=18 (6n^2-2n=20)  (1.2s)
n=2 d=11 F1=(1, 0) F2=(0, 1): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-121/2) rho=2 rec(-1/4d)=True c1=1 c3=-1/264 R=0 r(chE)=18 (6n^2-2n=20)  (1.2s)
n=2 d=11 F1=(0, 1) F2=(1, 0): rk=0 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(0,-121/2) rho=2 rec(-1/4d)=True c1=-1 c3=1/264 R=0 r(chE)=18 (6n^2-2n=20)  (1.3s)
n=2 d=11 F1=(1, 1) F2=(2, -1): rk=-42 flat(ch)=False flat(ch e^{l/2})=True flat(ch e^{-l/2})=False others={'l/2+beta': False, 'l/2+bhat': False, 'l/2+eta': True, 'l': False, '0': False} weil=(-253/2,-121/2) rho=2 rec(-1/4d)=True c1=-3 c3=1/88 R=49/80 r(chE)=18 (6n^2-2n=20)  (1.3s)
